,FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
0,1,LEFTHDCO,40.091372,-105.509174,1,1,1599003,0.00047928231369,-105.509174,40.091372,-105.50905564,40.0909075623,-75.7027248988,1599003,0.0623949398027,2889672, ,-9999
1,2,NSVABRCO,40.212202,-105.392808,2,2,1598986,0.000303463959155,-105.392808,40.212202,-105.392789409,40.211899106,-86.4877259589,1598986,0.0315517686373,2888688, ,-9999
2,3,SVLONGCO,40.169771,-105.146388,3,3,1598123,5.1489371616e-05,-105.146388,40.169771,-105.146386361,40.1698224633,88.1761138512,1598123,0.0695869502742,2888850, ,-9999
3,4,SSVWARCO,40.09082,-105.514442,4,4,1599003,6.4928026984e-05,-105.514442,40.09082,-105.514427502,40.0907567114,-77.0970973864,1599003,0.0623949398027,2889672, ,-9999
4,7,CHIDEVCO,39.716377,-105.571388,7,7,1348749,0.000169867648857,-105.571388,39.716377,-105.571522958,39.7162738431,-142.607056798,1348749,0.0516948151843,2885240, ,-9999
5,8,FALIDACO,39.755264,-105.556389,8,8,1348744,0.000433052099678,-105.556389,39.755264,-105.556800853,39.7553978341,161.998103376,1348744,0.0163202802324,2885162, ,-9999
6,10,BORDITCO,39.410543,-105.968071,10,10,1347784,0.00708434910285,-105.968071,39.410543,-105.96961873,39.4174562145,102.619283985,1347784,0.0443764088757,1315013, ,-9999
7,12,FRNCRKCO,39.416648,-105.892239,12,12,1346996,0.000339816509642,-105.892239,39.416648,-105.891974624,39.4168614957,38.9224165944,1346996,0.0712462912731,5239352, ,-9999
8,13,JEFBELCO,39.342199,-105.773346,13,13,1346923,0.000203314665692,-105.773346,39.342199,-105.773174922,39.34230886,32.7070917315,1346923,0.0186086400767,5239454, ,-9999
9,14,SCHFLMCO,39.37332,-105.866681,14,14,1346932,0.0160566802943,-105.866681,39.37332,-105.852153079,39.380157872,25.2050087279,1346932,0.0538557316941,5240404, ,-9999
10,28,LKCTURCO,39.281286,-106.4424,28,28,1344991,8.6842452018e-05,-106.4424,39.281286,-106.442440873,39.2812093775,-118.07691895,1344991,0.0133254291191,916793, ,-9999
11,31,CUCRESCO,37.748345,-104.611097,31,31,1235361,0.00914872270327,-104.611097,37.748345,-104.608189415,37.739670608,-71.4692710069,1235361,0.0165308138061,1426174, ,1425110
12,34,PRWDITCO,37.666944,-107.321443,34,34,965764,0.0022589190357,-107.321443,37.666944,-107.322532958,37.6649654383,-118.849668586,965764,0.0454492265057,17032639, ,-9999
13,35,TABDITCO,37.872776,-107.158662,35,35,1241467,0.00883646572394,-107.158662,37.872776,-107.167143611,37.870297008,-163.707496854,1241467,0.02446397228,17905799, ,-9999
14,36,WEMDITCO,37.679166,-107.321721,36,36,965503,0.0061166552872,-107.321721,37.679166,-107.322558305,37.6852250752,97.8678867597,965503,0.0468707267815,17906115, ,-9999
15,37,WCSDITCO,37.600001,-107.217828,37,37,966256,0.0011803467011,-107.217828,37.600001,-107.216946877,37.599215608,-41.7123241677,966256,0.00142569542344,17029300, ,-9999
16,38,DLFDT2CO,37.572504,-106.999211,38,38,966197,0.00367431241892,-106.999211,37.572504,-107.001852211,37.569949675,-135.958079609,966197,0.0730112500197,17029330, ,-9999
17,39,BEVRESCO,37.596116,-106.666439,39,39,966559,0.000176294940753,-106.666439,37.596116,-106.666611558,37.5960798918,-168.181221765,966559,0.0172465653318,17908217, ,-9999
18,40,ALARANCO,37.388905,-106.37729,40,40,967659,0.000160307790618,-106.37729,37.388905,-106.377136428,37.3889509814,16.6683994728,967659,0.0103813387161,17897747, ,-9999
19,41,ALAWIGCO,37.402504,-106.52198,41,41,967674,3.7482486916e-05,-106.52198,37.402504,-106.522017482,37.402504051,179.922066592,967674,0.0139577688881,17897687, ,-9999
20,42,WFKMOUCO,37.403896,-106.521706,42,42,967706,0.000126680555001,-106.521706,37.403896,-106.521661916,37.4040147628,69.6355507278,967706,0.0155932870199,17897663, ,-9999
21,43,WFKCROCO,37.429173,-106.584763,43,43,967713,4.844842013e-05,-106.584763,37.429173,-106.584775043,37.4292199277,104.393666629,967713,0.0169865314427,17897579, ,-9999
22,44,TARBELCO,37.992496,-106.79393,44,44,1240974,0.00448831299559,-106.79393,37.992496,-106.797829949,37.9947175648,150.332455518,1240974,0.0577992982573,9774289, ,-9999
23,54,LRASMICO,38.963417,-107.736885,54,54,1342637,6.1500323616e-05,-107.736885,38.963417,-107.736847096,38.9633685685,-51.95248224,1342637,0.0258195713976,1337916, ,-9999
24,63,BLURESCO,39.387482,-106.100577,63,63,1346650,0.00215302945481,-106.100577,39.387482,-106.100340215,39.3853420307,-83.6859807118,1346650,0.00568471497523,1314707, ,-9999
25,64,VIDTUNCO,39.624431,-105.790008,64,64,1347787,0.00756936647444,-105.790008,39.624431,-105.79755708,39.624984805,175.804263595,1347787,0.0739008959317,1314063, ,-9999
26,70,ROAFRYCO,39.36116,-107.02906,70,70,1344467,0.000610559001631,-107.02906,39.36116,-107.028546329,39.3614900371,32.7210266931,1344467,0.0448903464688,1326035, ,-9999
27,72,THOMUPCO,39.31109,-107.43812,72,72,1343489,0.00957617654077,-107.43812,39.31109,-107.44284921,39.302763072,-119.594051283,1343489,0.049118061957,3180710, ,-9999
28,73,CLFOFDCO,39.262199,-107.428938,73,73,1343487,0.00264472707036,-107.428938,39.262199,-107.427185877,39.264180072,48.5094343016,1343487,0.0514000887537,3180760, ,-9999
29,80,BIGUPPCO,39.131924,-107.918678,80,80,1340942,0.000202812963089,-107.918678,39.131924,-107.918831972,39.131791994,-139.392358467,1340942,0.0518921527462,3180916, ,-9999
30,81,COTPIPCO,39.125531,-107.967297,81,81,1341106,0.0103193364485,-107.967297,39.125531,-107.95754361,39.128901473,19.0635826966,1341106,0.0343246346113,3180914, ,-9999
31,82,OWECRECO,39.241645,-107.586732,82,82,1341931,0.00308368954538,-107.586732,39.241645,-107.58365201,39.241796006,2.80685458017,1341931,0.0882929329559,3181202, ,-9999
32,85,ILLRANCO,40.462482,-106.176971,85,85,1602004,0.00014958424963,-106.176971,40.462482,-106.177064823,40.4623654984,-128.845858027,1602004,0.0576490856168,16000046, ,-9999
33,86,MICWLDCO,40.741362,-106.272801,86,86,1603406,0.000660943769766,-106.272801,40.741362,-106.273001294,40.7407321359,-107.640462101,1603406,0.00206094434699,15996046, ,-9999
34,87,MICMERCO,40.61664,-106.083918,87,87,1601148,0.00147156825122,-106.083918,40.61664,-106.084692099,40.6178915125,121.738075852,1601148,0.0113187516188,15997310, ,-9999
