FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
0,PLABALCO,40.357498000000000,-103.528053000000000,0,0,1596209,0.000284786324105,-103.528053000000000,40.357498000000000,-103.528009254000000,40.357216593700002,-81.163760217900006,1596209,0.015520962256000,3561816, ,-9999
1,LEFTHDCO,40.091372000000000,-105.509174000000000,1,1,1599003,0.000479282313690,-105.509174000000000,40.091372000000000,-105.509055640000000,40.090907562300004,-75.702724898800000,1599003,0.062394939802700,2889672, ,-9999
2,NSVABRCO,40.212201999999998,-105.392808000000000,2,2,1598986,0.000303463959155,-105.392808000000000,40.212201999999998,-105.392789409000000,40.211899105999997,-86.487725958900000,1598986,0.031551768637300,2888688, ,-9999
3,SVLONGCO,40.169770999999997,-105.146388000000000,3,3,1598123,0.000051489371616,-105.146388000000000,40.169770999999997,-105.146386361000000,40.169822463300001,88.176113851200000,1598123,0.069586950274200,2888850, ,-9999
4,SSVWARCO,40.090820000000001,-105.514442000000000,4,4,1599003,0.000064928026984,-105.514442000000000,40.090820000000001,-105.514427502000000,40.090756711399997,-77.097097386399994,1599003,0.062394939802700,2889672, ,-9999
5,FRMLMRCO,40.042028000000002,-105.364917000000010,5,5,1599033,0.000133331039077,-105.364917000000010,40.042028000000002,-105.365050205000000,40.042033807400003,177.503631727999990,1599033,0.070205695082700,2889346,       06727500,-9999
6,GOOPLMCO,40.094040000000000,-105.054469999999990,6,6,1598129,0.000720567167799,-105.054469999999990,40.094040000000000,-105.054031440000000,40.093468264199998,-52.509330554500004,1598129,0.031166847506400,2889070, ,-9999
7,CHIDEVCO,39.716377000000001,-105.571388000000000,7,7,1348749,0.000169867648857,-105.571388000000000,39.716377000000001,-105.571522958000000,39.716273843099998,-142.607056798000000,1348749,0.051694815184300,2885240, ,-9999
8,FALIDACO,39.755263999999997,-105.556389000000000,8,8,1348744,0.000433052099678,-105.556389000000000,39.755263999999997,-105.556800853000000,39.755397834100002,161.998103375999990,1348744,0.016320280232400,2885162, ,-9999
9,LVNGEOCO,39.687210000000000,-105.700282000000000,9,9,1347615,0.000178817387268,-105.700282000000000,39.687210000000000,-105.700143680000000,39.687096672000003,-39.328363430600000,1347615,0.104592320479000,2885578,       06714800,-9999
10,BORDITCO,39.410542999999997,-105.968070999999990,10,10,1347784,0.007084349102850,-105.968070999999990,39.410542999999997,-105.969618729999990,39.417456214500000,102.619283985000000,1347784,0.044376408875700,1315013, ,-9999
11,DIXCOMCO,39.341934999999999,-105.904739000000010,11,11,1347195,0.002112911173730,-105.904739000000010,39.341934999999999,-105.904645755000000,39.339824147300000,-87.470652821800002,1347195,0.019755899271500,5240408, ,-9999
12,FRNCRKCO,39.416648000000002,-105.892239000000000,12,12,1346996,0.000339816509642,-105.892239000000000,39.416648000000002,-105.891974624000000,39.416861495699997,38.922416594399998,1346996,0.071246291273100,5239352, ,-9999
13,JEFBELCO,39.342199000000001,-105.773346000000000,13,13,1346923,0.000203314665692,-105.773346000000000,39.342199000000001,-105.773174922000000,39.342308860000003,32.707091731500000,1346923,0.018608640076700,5239454, ,-9999
14,SCHFLMCO,39.373320000000000,-105.866681000000000,14,14,1346932,0.016056680294300,-105.866681000000000,39.373320000000000,-105.852153079000000,39.380157871999998,25.205008727900001,1346932,0.053855731694100,5240404, ,-9999
15,TARUPPCO,39.339433000000000,-105.911681000000000,15,15,1346940,0.000250327380890,-105.911681000000000,39.339433000000000,-105.911768339999990,39.339198403499999,-110.420216044000000,1346940,0.028112296356000,5239426,       06696980,-9999
16,PRESPDCO,40.433999999999997,-103.374399999999990,16,16,1595279,0.006731407403640,-103.374399999999990,40.433999999999997,-103.368755617000010,40.437667804000000,33.016410178599997,1595279,0.007053879075290,3560278, ,-9999
17,PREOUTCO,40.433500000000002,-103.372900000000000,17,17,1595279,0.005877627126130,-103.372900000000000,40.433500000000002,-103.368755617000010,40.437667804000000,45.161440172399999,1595279,0.007053879075290,3560278, ,-9999
18,PREHILCO,40.434722000000001,-103.374167000000000,18,18,1595279,0.006161235848410,-103.374167000000000,40.434722000000001,-103.368755617000010,40.437667804000000,28.562623661899998,1595279,0.007053879075290,3560278, ,-9999
19,FOUFOUCO,38.601664999999997,-104.670250000000000,19,19,1235858,0.000714181324267,-104.670250000000000,38.601664999999997,-104.669989442000000,38.602329954600002,68.602624151599997,1235858,0.004068129846120,1530529,       07106000,-9999
20,GALDITCO,38.705826000000002,-104.844696000000000,20,20,1237292,0.000426924711656,-104.844696000000000,38.705826000000002,-104.844530246000010,38.706219434099999,67.154304053299995,1237292,0.079709235624200,1530177,       07105945,-9999
21,TURSTOCO,38.432223000000000,-104.833313000000000,21,21,1237199,0.000039232177855,-104.833313000000000,38.432223000000000,-104.833279882000000,38.432244032500002,32.418840073399998,1237199,0.011641652220500,950443, ,-9999
22,MCWCRLCO,38.810960999999999,-106.263257000000000,22,22,1346067,0.000067837303916,-106.263257000000000,38.810960999999999,-106.263239814000000,38.811026624199997,75.324646898500006,1346067,0.029954539898500,918573, ,-9999
23,ARKEMPCO,39.163879999999999,-106.320024000000000,23,23,1346032,0.000280317780422,-106.320024000000000,39.163879999999999,-106.319786756000000,39.164029310300002,32.184448021300000,1346032,0.009849500782940,916565,       07083710,-9999
24,ARKLEACO,39.249000000000002,-106.348111000000000,24,24,1346037,0.000237068097296,-106.348111000000000,39.249000000000002,-106.347881528000000,39.248940469200001,-14.543369382400000,1346037,0.044928150688100,916811,       07081200,-9999
25,DINTUNCO,39.251111000000002,-106.381111000000000,25,25,1344988,0.004352763820550,-106.381111000000000,39.251111000000002,-106.377700936000000,39.248405816800002,-38.424755961999999,1344988,0.019044341270300,916807, ,-9999
26,ARKEFOCO,39.272489000000000,-106.306413000000010,26,26,1346038,0.000109034124332,-106.306413000000010,39.272489000000000,-106.306344224000000,39.272404392900000,-50.892951237299997,1346038,0.051059502918500,916493,       07079300,-9999
27,HALMALCO,39.172212999999999,-106.389193000000010,27,27,1344886,0.000059753807096,-106.389193000000010,39.172212999999999,-106.389238394000000,39.172251857699997,139.436034143000000,1344886,0.092130611813000,916821,       07083000,-9999
28,LKCTURCO,39.281286000000001,-106.442400000000010,28,28,1344991,0.000086842452018,-106.442400000000010,39.281286000000001,-106.442440873000000,39.281209377499998,-118.076918950000010,1344991,0.013325429119100,916793, ,-9999
29,GRABWCCO,38.076346000000001,-105.458370000000000,29,29,1237553,0.000031242440091,-105.458370000000000,38.076346000000001,-105.458375782000000,38.076315297199997,-100.664677720000000,1237553,0.003097743667560,922135, ,-9999
30,TCCKTCCO,38.408628000000000,-105.583736000000000,30,30,1238506,0.000191384137845,-105.583736000000000,38.408628000000000,-105.583915860999990,38.408693405999998,160.016331554999990,1238506,0.014088652719200,921351, ,-9999
31,CUCRESCO,37.748345000000000,-104.611097000000000,31,31,1235361,0.009148722703270,-104.611097000000000,37.748345000000000,-104.608189415000000,37.739670607999997,-71.469271006900001,1235361,0.016530813806100,1426174, ,1425110
32,MUDTOOCO,37.762715000000000,-103.243280000000000,32,32,1234242,0.000099912661548,-103.243280000000000,37.762715000000000,-103.243297895000000,37.762813297100003,100.317543098000000,1234242,0.143323087306000,1597345, ,-9999
33,LLPRETCO,38.096220000000002,-102.610560000000010,33,33,1233106,0.009476696324370,-102.610560000000010,38.096220000000002,-102.610519085000010,38.105696608000002,89.752628550699995,1233106,0.165587626516000,1596083,       07133000,-9999
